GUIA DE CAPTURA DE PRODUCTOS PARA TIENDA O CATÁLOGO,,,,,,,,,,,,,,,,
CODIGO,CODIGO BARRAS,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,CATEGORÍA,SUBCATEGORÍA,SUB-SUBCATEGORIA,MARCA/FABRICANTE,PESO GRS,DESCUENTO %,INVENTARIO,IMAGEN,PRECIO,PRECIO MAYOREO,COLORES,DESTACADO
65082,,VISOR CON RESPIRADOR JUVENIL,VISOR CON RESPIRADOR JUVENIL,Cantidad: 3 piezas,GOGGLES,VISORES,,SUNRISE,150,,,65082.PNG,38.4,32,AZUL|NARANJA|VERDE,
65122,,VISOR CON RESPIRADOR ADULTO,VISOR CON RESPIRADOR PARA ADULTO,Cantidad: 3 piezas,GOGGLES,VISORES,,SUNRISE,150,,,65122.PNG,44.4,37,AZUL|NARANJA|VERDE,
238,6912300002384,SET CUBETA PARA ARENA CUADRADA,"SET CUBETA PARA ARENA CUADRADA TRANSPARENTE, CON PALA, RASTRILLO Y MOLDES PARA ARENA",17cm,JUGUETES DE PLAYA,CUBETAS PARA ARENA,,SUNRISE,100,,,238.PNG,24,20,,
5511,1200001804815,SET CUBETA PARA ARENA REDONDA,"SET CUBETA PARA ARENA REDONDA TRANSPARENTE, CON PALA, RASTRILLO Y MOLDES PARA ARENA",14cm,JUGUETES DE PLAYA,CUBETAS PARA ARENA,,SUNRISE,100,,,5511.PNG,24,20,,
31017,78257590667,"PELOTA 48""","PELOTA INFLABLE 48""","42"" (1.07m)",JUGUETES DE PLAYA,PELOTAS ,,BESTWAY,300,,,31017.PNG,24,20,,
59010,,"PELOTA 16""","PELOTA INFLABLE 16""","16"" (41cm)",JUGUETES DE PLAYA,PELOTAS ,,INTEX,100,,,59010.PNG,24,20,,
59050,78257308583,"PELOTA 24""","PELOTA INFLABLE 24""","24"" (61cm)",JUGUETES DE PLAYA,PELOTAS ,,INTEX,230,,,59050.PNG,24,20,,
59065,,"PELOTA 42""","PELOTA INFLABLE 42""","42"" (1.07m)",JUGUETES DE PLAYA,PELOTAS ,,INTEX,280,,,59065.PNG,24,20,,
59066,821808310173,"PELOTA 42""","PELOTA INFLABLE 42""","48"" (1.21cm)",JUGUETES DE PLAYA,PELOTAS ,,INTEX,280,,,59066.PNG,24,20,,
025-2,3100004142151,SET CUBETA PARA ARENA BARCO,"SET CUBETA PARA ARENA FORMA BARCO, CON PALA, RASTRILLO Y MOLDES PARA ARENA",25cm,JUGUETES DE PLAYA,CUBETAS PARA ARENA,,SUNRISE,100,,,025.PNG,24,20,,
656A,2013052485600,SET CUBETA PARA ARENA REDONDA,"SET CUBETA PARA ARENA REDONDA TRANSPARENTE, CON PALA, RASTRILLO Y MOLDES PARA ARENA",16.5cm,JUGUETES DE PLAYA,CUBETAS PARA ARENA,,SUNRISE,100,,,656A.PNG,24,20,,
B02-8860A,,PISTOLA DE AGUA JERINGA,PISTOLA DE AGUA JERINGA,"Medidas: 20cm x 5cm, Material: Espuma EVA",JUGUETES DE PLAYA,PISTOLAS DE AGUA,,SUNRISE,100,,,B028860A.PNG,24,20,,
RX02,6908806233216,SET CUBETA PARA ARENA REDONDA,"SET CUBETA PARA ARENA REDONDA TRANSPARENTE, CON PALA, RASTRILLO Y MOLDES PARA ARENA",16cm,JUGUETES DE PLAYA,CUBETAS PARA ARENA,,SUNRISE,100,,,RX02.PNG,24,20,,
ZB-84-7533,,PISTOLA DE AGUA,PISTOLA DE AGUA PLASTICO ,"Medidas: 20cm x 5cm, Material: Plastico",JUGUETES DE PLAYA,PISTOLAS DE AGUA,,SUNRISE,120,,,ZB847533.PNG,24,20,,
58329,078257583294,LANCHA INFLABLE 1 PERSONA,"LANCHA INFLABLE 1 PERSONA CON EQUIPO (REMOS, BOMBA)","58x33x17"" (147x84x36cm)",INFLABLES,LANCHAS INFLABLES,,INTEX,800,,,58329.PNG,129.6,108,,
58202,078257582020,"SALVAVIDAS 47"" AGARRADERAS","SALVAVIDAS RUEDA INFLABLE 47"" CON AGARRADERAS",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,500,,,58202.PNG,144,120,,
